experiment,condition,n,ever_ms,insurance_floor_hit,operator_caution_ceiling_hit,awrp_ceiling_hit,risk_premium_high_hit
Baseline,all runs,100,0.25,0,0.1,0,0.15
Diplomacy by bridge probability,diplomacy_bridge_prob=0.06,100,0.17,0,0.18,0,0.16
Diplomacy by bridge probability,diplomacy_bridge_prob=0.03,100,0.17,0,0.12,0,0.21
Diplomacy by bridge probability,diplomacy_bridge_prob=0.09,100,0.2,0,0.11,0,0.1
H1 by commercial clock,"tau_c_rate=0.25, tau_c_over_tau_m=4",100,0.45,0.03,0.68,0,0.2
H1 by commercial clock,"tau_c_rate=0.4, tau_c_over_tau_m=2.5",100,0.15,0,0.13,0,0.14
H1 by commercial clock,"tau_c_rate=0.6, tau_c_over_tau_m=1.66666666666667",100,0.02,0,0.03,0,0.07
H1 by commercial clock,"tau_c_rate=0.8, tau_c_over_tau_m=1.25",100,0.01,0,0.01,0,0.06
H1 by commercial clock,"tau_c_rate=1, tau_c_over_tau_m=1",100,0.04,0,0.01,0,0.06
H1 by commercial clock,"tau_c_rate=1.4, tau_c_over_tau_m=0.714285714285714",100,0.02,0,0,0,0.02
H1 clock sweep: all runs,all runs,600,0.115,0.005,0.14333333333333334,0,0.09166666666666666
H2 by commercial and market clocks,"tau_c_rate=0.4, tau_k_rate=1.5",100,0.24,0,0.16,0,0.12
H2 by commercial and market clocks,"tau_c_rate=0.4, tau_k_rate=0.5",100,0.16,0,0.13,0,0.15
H2 by commercial and market clocks,"tau_c_rate=0.4, tau_k_rate=1",100,0.17,0,0.11,0,0.15
H2 by commercial and market clocks,"tau_c_rate=1, tau_k_rate=1",100,0.01,0,0.01,0,0.07
H2 by commercial and market clocks,"tau_c_rate=1, tau_k_rate=0.5",100,0.01,0,0,0,0.05
H2 by commercial and market clocks,"tau_c_rate=1, tau_k_rate=1.5",100,0.04,0,0,0,0.05
H3 by recognition and commercial clock,"selective_targeting_recognition=0.75, tau_c_rate=0.4",100,0.15,0,0.19,0,0.36
H3 by recognition and commercial clock,"selective_targeting_recognition=0, tau_c_rate=0.4",100,0.11,0.02,0.17,0,0.27
H3 by recognition and commercial clock,"selective_targeting_recognition=0.25, tau_c_rate=0.4",100,0.19,0.01,0.17,0,0.24
H3 by recognition and commercial clock,"selective_targeting_recognition=0.5, tau_c_rate=0.4",100,0.14,0.01,0.17,0,0.22
H3 by recognition and commercial clock,"selective_targeting_recognition=0.25, tau_c_rate=1",100,0,0,0.01,0,0.06
H3 by recognition and commercial clock,"selective_targeting_recognition=0.75, tau_c_rate=1",100,0,0,0.01,0,0.12
H3 by recognition and commercial clock,"selective_targeting_recognition=0, tau_c_rate=1",100,0,0,0,0,0.16
H3 by recognition and commercial clock,"selective_targeting_recognition=0.5, tau_c_rate=1",100,0,0,0,0,0.04
Neutral counterfactual,all runs,100,0.03,0,0,0,0
